form_field_id,form_id,field_id,field_number,field_part,page_number,parent_form_field,min_occurs,max_occurs,required,changed_by,date_changed,creator,date_created,sort_weight,uuid
288,15,282,22,NULL,2,372,NULL,NULL,0,1,'2006-02-1402:58:00',1,'2006-02-1402:58:00',2240.00000,'c06808e1-1691-11df-97a5-7038c432aabf'

289,15,283,22,NULL,2,372,NULL,NULL,0,1,'2006-02-1402:59:00',1,'2006-02-1402:59:00',2250.00000,'c06809fc-1691-11df-97a5-7038c432aabf'

290,15,143,22,NULL,2,372,NULL,NULL,0,1,'2006-02-1402:59:00',1,'2006-02-1402:59:00',2230.00000,'c0680b0e-1691-11df-97a5-7038c432aabf'

291,15,144,23,NULL,3,372,NULL,NULL,0,1,'2005-08-0810:22:00',1,'2005-08-0600:00:00',2270.00000,'c0680c28-1691-11df-97a5-7038c432aabf'

292,15,145,23,NULL,3,372,NULL,NULL,0,1,'2005-08-0810:22:00',1,'2005-08-0600:00:00',2280.00000,'c0680d3e-1691-11df-97a5-7038c432aabf'

293,15,146,23,NULL,3,372,NULL,NULL,0,1,'2005-08-0811:45:00',1,'2005-08-0600:00:00',2290.00000,'c0680e58-1691-11df-97a5-7038c432aabf'

294,15,148,23,NULL,3,372,NULL,NULL,0,1,'2005-08-0810:21:00',1,'2005-08-0600:00:00',2260.00000,'c0680f6a-1691-11df-97a5-7038c432aabf'

295,15,147,23,NULL,3,356,NULL,NULL,0,1,'2005-08-0810:28:00',1,'2005-08-0600:00:00',1620.00000,'c0681084-1691-11df-97a5-7038c432aabf'

296,15,284,24,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1630.00000,'c0687f75-1691-11df-97a5-7038c432aabf'

297,15,285,24,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1650.00000,'c0688098-1691-11df-97a5-7038c432aabf'

298,15,286,24,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1640.00000,'c06881aa-1691-11df-97a5-7038c432aabf'

299,15,155,25,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1720.00000,'c06882bc-1691-11df-97a5-7038c432aabf'

300,15,156,25,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1670.00000,'c06883d2-1691-11df-97a5-7038c432aabf'

301,15,157,25,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1700.00000,'c06884e4-1691-11df-97a5-7038c432aabf'

302,15,158,25,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1730.00000,'c06888d9-1691-11df-97a5-7038c432aabf'

303,15,161,25,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1660.00000,'c0688a23-1691-11df-97a5-7038c432aabf'

304,15,159,25,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1740.00000,'c0689275-1691-11df-97a5-7038c432aabf'

305,15,160,25,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1680.00000,'c0689398-1691-11df-97a5-7038c432aabf'

306,15,287,25,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1690.00000,'c06894b6-1691-11df-97a5-7038c432aabf'

307,15,162,26,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1750.00000,'c06895d0-1691-11df-97a5-7038c432aabf'

308,15,288,27,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1760.00000,'c06896ef-1691-11df-97a5-7038c432aabf'

309,15,289,28,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1770.00000,'c0689805-1691-11df-97a5-7038c432aabf'

310,15,290,29,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1780.00000,'c068991b-1691-11df-97a5-7038c432aabf'

311,15,291,30,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1790.00000,'c0689bee-1691-11df-97a5-7038c432aabf'

312,15,292,31,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1800.00000,'c0689d1e-1691-11df-97a5-7038c432aabf'

313,15,211,32,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1810.00000,'c0689e45-1691-11df-97a5-7038c432aabf'

314,15,293,32,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1820.00000,'c0689f74-1691-11df-97a5-7038c432aabf'

315,15,294,32,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1830.00000,'c068a0a8-1691-11df-97a5-7038c432aabf'

316,15,295,33,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1840.00000,'c068a1d4-1691-11df-97a5-7038c432aabf'

317,15,296,34,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1850.00000,'c068a303-1691-11df-97a5-7038c432aabf'

318,15,297,35,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1860.00000,'c068a42f-1691-11df-97a5-7038c432aabf'

319,15,298,36,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1870.00000,'c0691622-1691-11df-97a5-7038c432aabf'

320,15,299,37,NULL,3,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1880.00000,'c0691789-1691-11df-97a5-7038c432aabf'

321,15,300,38,NULL,4,356,NULL,NULL,0,NULL,NULL,1,'2005-08-0600:00:00',1890.00000,'c06918c2-1691-11df-97a5-7038c432aabf'

